brand,model,trim,manufacture_year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,price
Toyota,Passo,,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","131,000 km",4650000
Toyota,Vitz,,2019,Used,Automatic,Hatchback,Petrol,990 cc,"92,329 km",7800000
Toyota,Aqua,G Grade,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc",185 km,7000000
Toyota,Aqua,X Urban,2015,Used,Automatic,Hatchback,Petrol,"1,500 cc","105,000 km",8350000
Toyota,Vitz,,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","238,000 km",7250000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","124,000 km",9100000
Toyota,Vitz,U Grade,2007,Used,Automatic,Hatchback,Petrol,"1,300 cc","99,000 km",5875000
Toyota,Prius,2nd Gen,2009,Used,Automatic,Hatchback,Petrol,"1,500 cc","143,310 km",5800000
Toyota,Aqua,X Urban,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","128,000 km",8875000
Toyota,Harrier,HYBRID 2015,2015,Reconditioned,Automatic,Hatchback,Hybrid,250 cc,"115,000 km",1650000
Toyota,Roomy,X,2023,Used,Automatic,Hatchback,Petrol,"1,000 cc","17,805 km",8950000
Toyota,Aqua,,2012,Used,Automatic,Hatchback,Hybrid,"1,500 cc","142,000 km",6475000
Toyota,Roomy,M900,2017,Used,Automatic,Hatchback,Petrol,900 cc,"94,000 km",7750000
Toyota,Vitz,KSP 90,2010,Used,Automatic,Hatchback,Petrol,"1,000 cc","155,800 km",5750000
Toyota,Yaris,2023 X GR push start,2023,Used,Automatic,Hatchback,Petrol,996 cc,"13,500 km",9225000
Toyota,Passo,2009,2009,Used,Automatic,Hatchback,Petrol,"1,000 cc","85,000 km",4850000
Toyota,Vitz,,2010,Used,Automatic,Hatchback,Petrol,990 cc,"143,493 km",5850000
Toyota,Aqua,S Grade,2013,Used,Automatic,Hatchback,Hybrid,"1,490 cc","166,000 km",7400000
Toyota,Aqua,Urban,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","86,000 km",8650000
Toyota,Vitz,KS90,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","147,000 km",4800000
Toyota,Ractis,2007,2007,Used,Automatic,Hatchback,Petrol,"1,300 cc","165,000 km",7250000
Toyota,Vitz,,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","152,000 km",5300000
Toyota,Vitz,,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","121,000 km",5300000
Toyota,Aqua,S Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","103,000 km",7225000
Toyota,Passo,,2007,Used,Automatic,Hatchback,Petrol,996 cc,"187,000 km",4700000
Toyota,Vitz,KSP 130,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","117,000 km",6950000
